epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8877.74,1.01925,1.00317,1.21872,0.90554,0.18519,0.27262,0.16517,1.63837,2.11803,1.8513,0.000990365,0.000990365,0.000990365
43,9070.07,1.01224,0.99097,1.18859,0.29353,0.24074,0.23141,0.14182,1.72167,2.17426,1.78566,0.000973861,0.000973861,0.000973861
44,9276.77,0.97991,0.94351,1.16378,0.80767,0.18519,0.18474,0.08955,1.84052,2.29209,1.98375,0.000957358,0.000957358,0.000957358
45,9502.21,1.05174,1.06018,1.2172,0.81793,0.16667,0.16774,0.08844,1.83138,2.34804,1.94575,0.000940855,0.000940855,0.000940855
46,9691.22,0.98381,0.98063,1.14411,0.73552,0.16667,0.15449,0.09154,1.97496,2.34796,2.12522,0.000924352,0.000924352,0.000924352
47,9898.52,0.93335,0.88763,1.1362,0.18952,0.2037,0.17732,0.09639,1.97282,2.34005,2.12196,0.000907848,0.000907848,0.000907848
48,10085.4,0.96087,0.97019,1.15196,0.45672,0.31019,0.23552,0.12828,1.81894,2.46717,2.09825,0.000891345,0.000891345,0.000891345
49,10264.1,1.01075,0.93527,1.18737,0.40178,0.28627,0.2101,0.11922,1.89543,2.59501,2.16631,0.000874842,0.000874842,0.000874842
50,10457.1,0.99194,0.92985,1.15198,0.7291,0.24074,0.20546,0.10037,1.75185,2.40658,1.91447,0.000858338,0.000858338,0.000858338
51,10630.2,1.00409,0.94465,1.16847,0.77637,0.27473,0.20666,0.09902,1.79582,2.30074,1.91159,0.000841835,0.000841835,0.000841835
52,13271.7,0.92058,0.9185,1.13568,0.2346,0.24567,0.16595,0.06801,1.9306,2.46822,2.04401,0.000825332,0.000825332,0.000825332
53,13447.8,0.9323,0.878,1.11533,0.24767,0.25926,0.20612,0.08272,1.96563,2.46655,2.16358,0.000808828,0.000808828,0.000808828
54,13619.7,0.96502,0.8854,1.15201,0.80884,0.22222,0.23028,0.11333,1.9361,2.30735,2.11782,0.000792325,0.000792325,0.000792325
55,13795.4,0.94788,0.86684,1.12263,0.32907,0.22222,0.23499,0.11831,1.77587,2.30011,1.96435,0.000775822,0.000775822,0.000775822
56,13971.6,0.90134,0.90112,1.11204,0.29345,0.18519,0.19479,0.10732,1.75674,2.43515,1.96075,0.000759318,0.000759318,0.000759318
57,14154.4,0.90124,0.83132,1.11647,0.28713,0.16667,0.1577,0.07529,1.94402,2.7822,2.12952,0.000742815,0.000742815,0.000742815
58,14330.7,0.94342,0.85354,1.13478,0.23297,0.18519,0.16228,0.07716,1.87931,2.93083,2.09687,0.000726312,0.000726312,0.000726312
59,14511.3,0.92468,0.8251,1.15559,0.24633,0.2037,0.17259,0.0908,1.82197,2.86938,1.9977,0.000709809,0.000709809,0.000709809
60,14697.6,0.89744,0.78969,1.12067,0.23888,0.2037,0.1852,0.10752,1.84961,2.81778,1.94499,0.000693305,0.000693305,0.000693305
61,14874.5,0.88571,0.78367,1.10322,0.28215,0.18519,0.18679,0.1147,1.8022,2.67678,1.89555,0.000676802,0.000676802,0.000676802
62,15047.5,0.88897,0.80278,1.09505,0.27318,0.20085,0.20628,0.11922,1.8046,2.55296,1.87399,0.000660299,0.000660299,0.000660299
63,15235.4,0.87802,0.77095,1.12337,0.22704,0.24074,0.22047,0.11722,1.88043,2.41246,1.97181,0.000643795,0.000643795,0.000643795
64,15407.4,0.8592,0.78269,1.10571,0.28346,0.21833,0.19097,0.09968,1.77112,2.41045,1.98172,0.000627292,0.000627292,0.000627292
65,15585.7,0.84625,0.77879,1.09179,0.25971,0.22222,0.19735,0.10639,1.77975,2.48581,1.98374,0.000610789,0.000610789,0.000610789
66,15763.3,0.8205,0.75426,1.07701,0.23342,0.22715,0.19213,0.10622,1.78974,2.50105,1.97905,0.000594286,0.000594286,0.000594286
67,15945.6,0.84657,0.77759,1.09669,0.24268,0.27778,0.20156,0.10097,1.8,2.29738,2.00489,0.000577782,0.000577782,0.000577782
68,16123.5,0.83879,0.73616,1.08349,0.31208,0.27683,0.23194,0.11612,1.76818,2.2288,1.93743,0.000561279,0.000561279,0.000561279
69,16306.5,0.80057,0.75852,1.06809,0.30633,0.23454,0.21308,0.14006,1.6254,2.29568,1.76273,0.000544776,0.000544776,0.000544776
70,16485.6,0.79261,0.70218,1.0495,0.28388,0.2037,0.19385,0.13089,1.5124,2.32429,1.67383,0.000528272,0.000528272,0.000528272
71,16659.8,0.77962,0.70899,1.04925,0.33235,0.22037,0.22083,0.13034,1.57839,2.38298,1.74394,0.000511769,0.000511769,0.000511769
72,20439.3,0.79232,0.70521,1.06305,0.24844,0.27442,0.23289,0.1172,1.56604,2.28474,1.80505,0.000495266,0.000495266,0.000495266
73,20611.4,0.73876,0.66402,1.01628,0.24906,0.29413,0.2324,0.11867,1.65398,2.35302,1.82491,0.000478762,0.000478762,0.000478762
74,20779.4,0.81694,0.69751,1.0583,0.25034,0.27856,0.23629,0.11685,1.64898,2.31669,1.83336,0.000462259,0.000462259,0.000462259
75,20942.9,0.79801,0.74384,1.05263,0.24633,0.24074,0.20686,0.1175,1.57662,2.37919,1.77977,0.000445756,0.000445756,0.000445756
76,21223.1,0.78381,0.69599,1.0537,0.77518,0.16667,0.16818,0.11082,1.62064,2.55809,1.82779,0.000429253,0.000429253,0.000429253
77,21425.6,0.76334,0.68839,1.04195,0.28224,0.18519,0.16809,0.10635,1.646,2.54799,1.83196,0.000412749,0.000412749,0.000412749
78,21617.3,0.75428,0.67534,1.03686,0.28369,0.2037,0.19207,0.1205,1.60218,2.33493,1.79681,0.000396246,0.000396246,0.000396246
79,21817.5,0.73695,0.65579,1.03898,0.32273,0.20236,0.19621,0.10695,1.71567,2.49488,1.89856,0.000379743,0.000379743,0.000379743
80,22006.7,0.7408,0.64942,1.03343,0.22294,0.2037,0.16549,0.09177,1.70991,2.77366,1.90562,0.000363239,0.000363239,0.000363239
81,22196.3,0.72735,0.65764,1.03917,0.28052,0.14815,0.15049,0.08452,1.73296,2.86741,1.93724,0.000346736,0.000346736,0.000346736
82,22393.1,0.75662,0.68075,1.05975,0.2448,0.18519,0.16795,0.09752,1.6697,2.82576,1.87018,0.000330233,0.000330233,0.000330233
83,22584.7,0.71769,0.66406,1.02666,0.30077,0.2037,0.18638,0.10729,1.68638,2.73028,1.81646,0.000313729,0.000313729,0.000313729
84,22771.9,0.70346,0.64139,1.03132,0.30439,0.20181,0.21676,0.11175,1.62616,2.48633,1.81413,0.000297226,0.000297226,0.000297226
85,22969.1,0.69349,0.61777,1.01954,0.26243,0.24562,0.21836,0.10779,1.61368,2.47811,1.82139,0.000280723,0.000280723,0.000280723
86,23157,0.70096,0.63852,1.017,0.26579,0.23137,0.18895,0.11057,1.64142,2.48449,1.87157,0.00026422,0.00026422,0.00026422
87,23332.4,0.72617,0.65822,1.03379,0.27713,0.24074,0.18945,0.1082,1.66345,2.4927,1.92259,0.000247716,0.000247716,0.000247716
88,23517.1,0.67996,0.59402,1.00563,0.27774,0.23162,0.18557,0.10976,1.66164,2.48097,1.89459,0.000231213,0.000231213,0.000231213
89,23696.4,0.67996,0.61666,1.04486,0.27958,0.22222,0.17804,0.10105,1.68122,2.58032,1.88261,0.00021471,0.00021471,0.00021471
90,23877.2,0.68581,0.61246,1.00749,0.25345,0.22222,0.15868,0.09323,1.67069,2.65518,1.8562,0.000198206,0.000198206,0.000198206
91,24043.2,0.57979,0.6577,0.94116,0.22564,0.22222,0.16223,0.10047,1.66445,2.6738,1.85062,0.000181703,0.000181703,0.000181703
92,24214.9,0.54911,0.59043,0.92148,0.24913,0.23913,0.1614,0.08877,1.67454,2.5423,1.86745,0.0001652,0.0001652,0.0001652
93,24361.9,0.55142,0.52756,0.93707,0.24442,0.24074,0.16488,0.09474,1.67065,2.50218,1.89836,0.000148696,0.000148696,0.000148696
94,24502.4,0.54655,0.54632,0.92414,0.25881,0.23853,0.155,0.08571,1.66729,2.48611,1.9405,0.000132193,0.000132193,0.000132193
95,24671.5,0.52474,0.53499,0.90001,0.25339,0.22849,0.15836,0.09101,1.66258,2.44496,1.96061,0.00011569,0.00011569,0.00011569
96,24888.9,0.513,0.51439,0.93481,0.24441,0.22222,0.16344,0.09312,1.66394,2.44269,1.96172,9.91865e-05,9.91865e-05,9.91865e-05
97,25056,0.49749,0.49211,0.91729,0.24006,0.22222,0.16376,0.08957,1.70136,2.50531,1.98034,8.26832e-05,8.26832e-05,8.26832e-05
98,25223.1,0.48907,0.48802,0.91756,0.25244,0.24074,0.1658,0.09141,1.72695,2.53402,1.98825,6.61799e-05,6.61799e-05,6.61799e-05
99,25420.2,0.49593,0.48567,0.91754,0.25108,0.24074,0.17156,0.09581,1.73373,2.55771,1.97934,4.96766e-05,4.96766e-05,4.96766e-05
100,25585.6,0.49057,0.49466,0.91202,0.25069,0.25926,0.17391,0.09444,1.73556,2.54194,1.97027,3.31733e-05,3.31733e-05,3.31733e-05
